Protein group ID	ID'ed in Moloney et al.	tagm.map.localisation.prediction	Protein IDs (Tb427)	Majority protein IDs (Tb427)	Protein IDs (Both 427 and 927)	Majority protein IDs (Both 427 and 927)	Protein description	Guther et al. Name	Guther et al. Description	Mito. OM acc. to Niemann et al. (2013)	Mito. IM acc. to Niemann et al. (2013)	Glycosomal acc. to Güther et al. (2014)	Comments	Is a dual localized protein	TMD/hydrophobic protein	TM Presence	Guther et al High + TM	Peroxins and known PMPs	Marker - NEW	Marker protein name	Mol. weight [kDa]	Q-value	Score	Mean correlation	p-value	Class 1/2 PMP final assessment	Class 1/2 protein (preliminary)	Glycosomes (Total)	SN0	SN1	SN2	Glycosomal membrane (MP)	Correlation Glyco-mem Rep1	Correlation Glyco-mem Rep2	Correlation Glyco-mem Rep3	Correlation Glyco-mem imputed Rep1	Correlation Glyco-mem imputed Rep2	Correlation Glyco-mem imputed Rep3	Glycosomes (Total)	SN0	SN1	SN2	Glycosomal membrane (MP)	Glycosomes (Total)	SN0	SN1	SN2	Glycosomal membrane (MP)	Glycosomes (Total)	SN0	SN1	SN2	Glycosomal membrane (MP)	F11	F12	F13	F14	F15	F16	F17	F18	F19	F20	F21	F22
1764			Tb427_070046600	Tb427_070046600	Tb427_070046600;Tb927.7.4120	Tb427_070046600;Tb927.7.4120	"hypothetical protein, conserved "		"hypothetical protein, conserved"												52.167	0	25.629	-0.1417406	9.85E-01			0.278154566	0.432267694	0.694042379	0.09861219	0.077524448	-0.437859668	-0.327831814	0.340469551	-0.437859668	-0.327831814	0.340469551	0.572272839	0.285479767	1	0.247510932	0.170122509	0.260438314	1	0.082127138	0.04777463	0.032861393	0.001752546	0.011323314	1	0.000551007	0.029589443	0.452597735	0.413866474	0.3771788	0.463942063	0.517677727	0.417848629	0.556775425	0.436042456	1	0.40555659	0.510562591	0.497450525
3280			Tb427_100095900	Tb427_100095900	Tb427_100095900;Tb927.10.8910	Tb427_100095900	"hypothetical protein, conserved "														181.86	0.00075529	3.3926	-0.1419128	9.26E-01			0.667287809	0.334191723	0.305944294	0.0025981	0.004169237	-0.264094052	-0.111059077	-0.050585201	-0.264094052	-0.111059077	-0.050585201	1	0.000655551	0.015785205	0.002792721	0.000214172	1	0.001919617	0.000851285	0.002126998	0.000680432	0.001863427	1	0.901196392	0.002874581	0.011613105	7.88157E-05	0.000350369	1	0.00110203	0.002541925	0.000203921	0.119086468	0.000216019	0.016737674	0.000122554	0.001373924	0.001186836
4315			Tb427_110133600	Tb427_110133600	Tb427_110133600;Tb927.11.11710	Tb427_110133600;Tb927.11.11710	"Putative serine esterase (DUF676), putative "														38.675	0	46.01	-0.1426389	9.00E-01			0.177637828	0.509622875	0.769472506	0.18987449	0.298589408		-0.16466869	-0.120609014	-0.009051879	-0.16466869	-0.120609014	not ID'ed	not ID'ed	not ID'ed	not ID'ed	not ID'ed	0.067116379	0.019245751	1	0.027331246	0.16487774	0.288159277	1	0.538945011	0.352417734	0.432301076	0.020660744	0.031511939	0.034265721	0.031798048	0.019149614	0.026380752	0.061358111	1	0.174447473	0.018092483	0.030175407	0.036469591
2471			Tb427_090028400	Tb427_090028400	Tb427_090028400;Tb927.9.4960	Tb427_090028400;Tb927.9.4960	"hypothetical protein, conserved "														5.3027	0	69.317	-0.142964	9.98E-01			0.28436066	0.606671528	1	0.283651822	0.274407245	-0.401158544	-0.320929346	0.293196039	-0.401158544	-0.320929346	0.293196039	0.08723127	0.94242671	1	0.052284902	0.039538455	0.749848155	0.82043625	1	0.767296386	0.774940516	0.016002553	0.057151625	1	0.03137418	0.008742762	0.087949807	0.043314868	0.031935328	0.048406407	0.054155793	0.083246204	0.060974376	1	0.127263665	0.092813053	0.044633237	0.06312421
665			Tb427_030032300	Tb427_030032300	Tb427_030032300;Tb927.3.3170	Tb427_030032300;Tb927.3.3170	"Doublecortin, putative "														70.353	0.0028715	2.3903	-0.1433699	9.98E-01			0.561246934	0.300013869	0.950174801	0.163298931	0.213568256	-0.372937224	-0.364774186	0.307601822	-0.372937224	-0.364774186	0.307601822	1	0.101932447	0.850524403	0.060966606	0.099227894	0.284455048	0.109986606	1	0.059689259	0.048429766	0.399285755	0.688122555	1	0.369240929	0.493047109	0.430323589	1	0.44435258	0.380309414	0.42633762	0.449984983	0.50672825	0.361374079	0.398508854	0.345175625	0.398854436	0.368646927
4394			Tb427_110152200	Tb427_110152200	Tb427_110152200;Tb927.11.13450	Tb427_110152200;Tb927.11.13450	"hypothetical protein, conserved "														30.691	0	36.71	-0.1447561	9.78E-01			0.414860243	0.490655265	1	0.359398667	0.393382916	-0.29748763	-0.476133425	0.33935277	-0.29748763	-0.476133425	0.33935277	0.278384297	0.357050129	1	0.150402211	0.187189711	0.889513174	0.894981413	1	0.863371366	0.852698843	0.076683259	0.219934252	1	0.064422424	0.140260194	0.061345423	0.11941638	0.186330329	0.044740807	0.037897554	0.049080696	1	0.203112639	0.101832566	0.04259638	0.039425356	0.047649107
4222			Tb427_110111000	Tb427_110111000	Tb427_110111000;Tb927.11.10240	Tb427_110111000;Tb927.11.10240	"Proteasome subunit, putative "		"hslVU complex proteolytic subunit, putative,hslVU complex proteolytic subunit, threonine peptidase, Clan T(1), family T1B"												22.684	0	114.29	-0.1457899	9.97E-01			0.225486179	0.671582149	0.537527498	0.092778228	0.095636501	-0.384179762	-0.370868861	0.317678799	-0.384179762	-0.370868861	0.317678799	0.453462773	1	0.422986128	0.270807494	0.275079162	0.221722873	1	0.189596366	0.006702773	0.005957016	0.001272893	0.014746446	1	0.000824417	0.005873327	0.001223327	0.016156207	0.001159813	0.000763049	0.001271321	0.000554693	0.1110557	1	0.032132116	0.000310761	0.000752032	0.000368473
1171			Tb427_050028700;Tb427_050028400	Tb427_050028700;Tb427_050028400	Tb427_050028400;Tb427_050028700;Tb927.5.2190;Tb927.5.2220;Tb927.5.2250	Tb427_050028400;Tb427_050028700;Tb927.5.2190;Tb927.5.2220;Tb927.5.2250	"META domain/Domain of unknown function (DUF1935), putative ;META domain/Domain of unknown function (DUF1935), putative "														48.795	0	145.02	-0.1468391	9.93E-01			0.46229851	0.383014648	0.797684596	0.116788388	0.100181683	-0.47141437	-0.287800011	0.318696947	-0.47141437	-0.287800011	0.318696947	0.380744027	0.784151628	1	0.057963983	0.083016433	1	0.316170275	0.393053788	0.28801525	0.197258307	0.006151503	0.048722041	1	0.004385931	0.020270309	0.025768404	0.032467695	0.084588058	0.07752286	0.057068251	0.074017655	1	0.173302364	0.035896435	0.034610404	0.053073433	0.025603219
3319			Tb427_100104700	Tb427_100104700	Tb427_100104700;Tb927.10.9790	Tb427_100104700;Tb927.10.9790	"hypothetical protein, conserved "														21.082	0	8.3667	-0.1477476	9.88E-01			0.295231936	0.67341825	0.837440727	0.216766704	0.256741849	-0.34435748	-0.434114594	0.335229178	-0.34435748	-0.434114594	0.335229178	0.435893603	1	0.512322182	0.30934396	0.342687958	0.446456623	0.995269547	1	0.338404482	0.398343151	0.003345582	0.024985203	1	0.00255167	0.029194436	0.096432845	0.108402056	0.08826188	0.091383443	0.149597311	0.140347379	0.19699985	1	0.087986248	0.094434676	0.094022619	0.100070679
785			Tb427_030057200	Tb427_030057200	Tb427_030057200;Tb927.3.5370	Tb427_030057200;Tb927.3.5370	"hypothetical protein, conserved "		"hypothetical protein, conserved"												34.239	0	129.69	-0.1481674	9.97E-01			0.468305569	0.218896147	0.686273676	0.038275287	0.038620816	-0.400168183	-0.363789832	0.31945592	-0.400168183	-0.363789832	0.31945592	1	0.511089229	0.058821028	0.036765899	0.025787956	0.402742958	0.137997346	1	0.077634245	0.084243036	0.002173748	0.007601868	1	0.000425716	0.005831455	0.002898979	0.003581463	0.02721247	0.005848971	0.002972579	0.001122856	0.655064568	1	0.205533697	0.002575601	0.005989979	0.010248256
2559			Tb427_090045500;Tb427_090045400	Tb427_090045500;Tb427_090045400	Tb427_090045400;Tb427_090045500;Tb927.9.8100;Tb927.9.8130	Tb427_090045400;Tb427_090045500;Tb927.9.8100;Tb927.9.8130	"NAC domain containing protein, putative ;NAC domain containing protein, putative "		"nascent polypeptide associated complex subunit, putative"												20.129	0	96.083	-0.1493274	9.96E-01			0.433437944	0.565069339	0.675243206	0.257148636	0.256786999	-0.386948746	-0.384794103	0.323760719	-0.386948746	-0.384794103	0.323760719	1	0.692665388	0.632070949	0.568354233	0.569571452	0.300122523	1	0.393658668	0.202788426	0.192514644	0.000191308	0.002542629	1	0.00030325	0.0082749	0.00252473	0.05862649	0.000433938	0.00218128	0.005116292	0.003200582	0.369072823	1	0.831240393	0.002604043	0.003108274	0.003023632
3267			Tb427_100093200	Tb427_100093200	Tb427_100093200;Tb927.10.8640	Tb427_100093200;Tb927.10.8640	"Kelch motif containing protein, putative "														39.216	0	43.346	-0.1510062	9.72E-01			0.257589984	0.422467485	0.763905062	0.160972444	0.118588701	-0.423046183	-0.408955407	0.378983018	-0.423046183	-0.408955407	0.378983018	0.503391125	0.235642693	1	0.304891578	0.17193791	0.265963539	1	0.291715186	0.165386804	0.102399622	0.003415287	0.031759763	1	0.012638949	0.081428571	0.0013086	0.001493601	0.005714741	0.002878785	0.00139621	0.003965866	1	0.001398423	0.06785109	0.001301182	0.001320013	0.002728605
2923			Tb427_100029600	Tb427_100029600	Tb427_100029600;Tb927.10.2530	Tb427_100029600;Tb927.10.2530	"AAA domain/Adenylate kinase/Adenylate kinase, active site lid, putative "		"adenylate kinase, putative"												24.967	0	323.31	-0.1520467	9.65E-01			0.450901523	0.285563522	0.9085604	0.05774065	0.083512936	-0.356073776	-0.483312754	0.383246545	-0.356073776	-0.483312754	0.383246545	0.333773668	0.185229918	1	0.006793456	0.025820385	1	0.626512262	0.725681199	0.14364303	0.126750681	0.0189309	0.044948387	1	0.022785465	0.097967742	0.00040694	0.009432235	0.006854653	0.00046911	0.002648743	0.000753715	0.125703522	1	0.042844911	0.001129497	0.000178316	8.3142E-05
1384			Tb427_060026400	Tb427_060026400	Tb427_060026400;Tb927.6.2210	Tb427_060026400;Tb927.6.2210	"hypothetical protein, conserved "		"hypothetical protein, conserved"												123.96	0	44.724	-0.1521126	9.16E-01			0.552482646	0.531899495	0.023137593	0.031861118	0.07156093	-0.277964741	-0.026260547		-0.277964741	-0.026260547	0.504763727	0.104965293	1	0.002278009	0.002306284	0.006404448	1	0.06379899	0.043997178	0.061415952	0.136717411	not ID'ed	not ID'ed	not ID'ed	not ID'ed	not ID'ed	0.289621741	0.238892732	0.230822785	0.211949109	0.243585823	0.29451327	0.456730134	1	0.340043633	0.233441421	0.180541282	0.239544144
537			Tb427_030007500	Tb427_030007500	Tb427_030007500;Tb927.3.780	Tb427_030007500;Tb927.3.780	"Proteasome subunit A N-terminal signature/Proteasome subunit, putative "		proteasome alpha 7 subunit												25.463	0	112.17	-0.152327	9.96E-01			0.187444363	0.669771297	0.571733814	0.131989562	0.111476459	-0.31383468	-0.457051919	0.313905545	-0.31383468	-0.457051919	0.313905545	0.304784008	1	0.146217119	0.159728964	0.14502835	0.253802707	1	0.568984322	0.236060787	0.18862062	0.003746372	0.009313891	1	0.000178935	0.000780407	0.005567872	0.007568661	0.002345076	0.002141981	0.004740797	0.003853976	0.042703762	0.349784841	1	0.00682161	0.002649776	0.002157624
1085			Tb427_050010100	Tb427_050010100	Tb427_050010100;Tb927.5.580	Tb427_050010100;Tb927.5.580	"Prefoldin subunit, putative "														15.578	0	4.2642	-0.1528517	9.97E-01			0.206271056	0.674496113	0.523787375	0.1127109	0.08258052	-0.320126628	-0.449300197	0.310871861	-0.320126628	-0.449300197	0.310871861	0.083563039	1	0.192305849	0.049200784	0.03108002	0.528804873	1	0.379056275	0.279563778	0.210683652	0.006445256	0.023488338	1	0.009368137	0.005977887	0.015038112	0.006514979	0.004762902	0.004486125	0.012222748	0.011022882	0.036706554	1	0.810271518	0.022064933	0.008893735	0.008609088
4462			Tb427_110167200	Tb427_110167200	Tb427_110167200;Tb927.11.14880	Tb427_110167200;Tb927.11.14880	"hypothetical protein, conserved "		"paraflagellar rod component, putative"												41.016	0	286.37	-0.1542686	9.77E-01			0.329060015	0.441636205	1	0.202581917	0.240270094	-0.398290366	-0.433852772	0.369337192	-0.398290366	-0.433852772	0.369337192	0.288764045	0.315193398	1	0.006577906	0.010026847	0.688041808	0.953765755	1	0.577499247	0.626746097	0.010374193	0.055949463	1	0.023668597	0.084037337	0.000234386	0.111455199	0.038302107	0.015662557	0.000421474	0.002532084	1	0.247393457	0.074094748	0.001074556	0.000230446	0.000378424
4088			Tb427_110082900;Tb427_110084300;Tb427_110084700	Tb427_110082900;Tb427_110084300;Tb427_110084700	Tb427_110082900;Tb427_110084300;Tb427_110084700;Tb927.11.7707	Tb427_110082900;Tb427_110084300;Tb427_110084700;Tb927.11.7707	"Tctex-1 family, putative ;Tctex-1 family, putative ;Tctex-1 family, putative "														13.072	0	100.17	-0.1558606	9.41E-01			0.268057608	0.536657781	1	0.028818509	0.126085957	-0.452384915	-0.514923442	0.499726487	-0.452384915	-0.514923442	0.499726487	0.370028832	0.728119713	1	0.001156004	0.058905807	0.351352574	0.778711662	1	0.038730198	0.058438433	0.082791417	0.103141968	1	0.046569325	0.260913632	0.006223327	0.279541885	0.088531207	0.007077452	0.003063249	0.00496949	1	0.833893385	0.127536635	0.002262198	0.001793509	0.004870424
1668			Tb427_070030900	Tb427_070030900	Tb427_070030900;Tb427_070031000;Tb927.7.2650	Tb427_070030900;Tb427_070031000;Tb927.7.2650	"hypothetical protein, conserved "													Cytoskeleton associated protein 51	50.884	0	74.805	-0.1562287	9.94E-01			0.320798973	0.378900799	0.91856006	0.199690396	0.196699603	-0.443440992	-0.355209665	0.329964448	-0.443440992	-0.355209665	0.329964448	0.546514982	1	0.755680179	0.514750605	0.479068778	0.415700999	0.135349638	1	0.084156342	0.096413971	0.000180937	0.001352758	1	0.00016424	0.014616059	8.15693E-06	0.008086604	0.000535401	3.39148E-05	0.000124171	9.56758E-06	0.331754056	1	0.547973849	0.001508563	0.000138676	6.03393E-05
2796			Tb427_100005100	Tb427_100005100	Tb427_100005100;Tb927.10.170	Tb427_100005100;Tb927.10.170	"DKCLD (NUC011) domain/TruB family pseudouridylate synthase (N terminal domain)/tRNA pseudouridylate synthase B C-terminal domain/PUA domain containing protein, putative "														48.357	0	62.226	-0.1563626	9.84E-01			0.391669082	0.515488577	0.867641076	0.011119082	0.117360618	-0.298054131	-0.503030185	0.331996597	-0.298054131	-0.503030185	0.331996597	0.56253937	1	0.602923228	0.001635236	0.275915354	0.603214114	0.475741299	1	0.021980222	0.032051181	0.009253762	0.070724431	1	0.009741787	0.044115318	0.007929284	0.205473977	0.021491699	0.027027398	0.010206673	0.005684619	1	0.6264587	0.070794035	0.005275178	0.011405094	0.006029689
3713			Tb427_110016000	Tb427_110016000	Tb427_110016000;Tb927.11.1150	Tb427_110016000;Tb927.11.1150	"Radial spoke protein 3, putative "		"radial spoke protein RSP3, putative"												39.377	0	164.87	-0.1587296	9.86E-01			0.333765425	0.303330436	1	0.203618715	0.210977333	-0.259047435	-0.334445167	0.117303942	-0.259047435	-0.334445167	0.117303942	0.236502399	0.00275229	1	0.001355504	0.030165722	0.269770262	0.029169113	1	0.007903499	0.018943204	0.495023616	0.878069904	1	0.60159714	0.583823075	0.024996039	0.131610211	0.039721378	0.012665043	0.007297372	0.007355546	1	0.157442897	0.030652358	0.010546292	0.005596273	0.0136233
1156			Tb427_050025100	Tb427_050025100	Tb427_050025100;Tb927.5.1880	Tb427_050025100;Tb927.5.1880	"Ecotin, putative "		"inhibitor of serine peptidase (ISP), putative,ecotin family (I11), putative"												17.81	0	22.725	-0.1591388	9.92E-01			0.233610407	0.459974044	0.912549881	0.12053793	0.139199035	-0.463623647	-0.34771824	0.333925529	-0.463623647	-0.34771824	0.333925529	0.366534407	1	0.737649643	0.090360107	0.116405838	0.333322749	0.372136059	1	0.268686881	0.279285564	0.000974065	0.007786072	1	0.002566802	0.021905704	0.060533173	0.311016866	0.16995759	0.072674818	0.06343485	0.055929874	0.24718414	1	0.08808561	0.0497574	0.036422002	0.051743006
814			Tb427_040006600	Tb427_040006600	Tb427_040006600;Tb927.4.470	Tb427_040006600;Tb927.4.470	"Gar1/Naf1 RNA binding region containing protein, putative "		"snoRNP protein GAR1, putative"												21.87	0	149.81	-0.1594749	9.81E-01			0.430593742	0.487994264	1	0.227049436	0.259563402	-0.500297493	-0.328729727	0.350602617	-0.500297493	-0.328729727	0.350602617	0.469831434	0.772934937	1	0.09547805	0.108622591	0.806153516	0.613847201	1	0.565705018	0.598810649	0.015796277	0.077200653	1	0.01996524	0.071256967	0.05689573	1	0.370956253	0.047243239	0.050666099	0.031262331	0.640844029	0.553699348	0.035586318	0.052621178	0.056403752	0.05689452
405			Tb427_020005400;Tb427_020005200	Tb427_020005400;Tb427_020005200	Tb427_020005200;Tb427_020005400;Tb427_110013500;Tb927.11.880;Tb927.2.1560;Tb927.2.1680;Tb927.8.2000	Tb427_020005200;Tb427_020005400;Tb427_110013500;Tb927.11.880;Tb927.2.1560;Tb927.2.1680;Tb927.8.2000	"Cyclophilin type peptidyl-prolyl cis-trans isomerase/CLD, putative ;Cyclophilin type peptidyl-prolyl cis-trans isomerase/CLD, putative "		"cyclophilin-type peptidyl-prolyl cis-trans isomerase, putative"												21.135	0	189.6	-0.1612998	9.85E-01			0.360376302	0.667660348	0.677950592	0.31691	0.317375462	-0.507266263	-0.315274252	0.338641153	-0.507266263	-0.315274252	0.338641153	0.928490963	1	0.955674193	0.919336087	0.907968059	0.152459971	1	0.078177584	0.031083691	0.019596513	0.000177973	0.002981043	1	0.000310221	0.024561812	0.004947888	0.163805727	0.065432802	0.005680866	0.013784028	0.004495192	0.159290596	1	0.322563456	0.005979499	0.002667742	0.004723535
2629			Tb427_090057300	Tb427_090057300	Tb427_090057300;Tb927.9.10100	Tb427_090057300;Tb927.9.10100	"SET domain containing protein, putative "		"hypothetical protein, conserved"												160.68	0	131.72	-0.1622385	9.96E-01			0.485089259	0.632077483	0.874557257	0.369709133	0.370575785	-0.327386717	-0.477249852	0.317921151	-0.327386717	-0.477249852	0.317921151	0.826180303	0.89072447	1	0.860888135	0.83831906	0.628225702	1	0.62367177	0.247919147	0.27036258	0.000861772	0.005507978	1	0.000320117	0.003045716	9.30429E-06	3.93196E-06	1.55682E-05	0.000562996	0.000367933	1.31353E-05	0.137207425	0.91605072	1	0.000573245	8.32345E-06	1.97451E-05
1679			Tb427_070032000	Tb427_070032000	Tb427_070032000;Tb927.7.2750	Tb427_070032000;Tb927.7.2750	"Protein kinase domain/Protein tyrosine kinase, putative "		"protein kinase, putative"												34.047	0	83.563	-0.1624804	9.99E-01			0.532959896	0.592953465	1	0.555084373	0.525418988	-0.358388364	-0.411295273	0.28224253	-0.358388364	-0.411295273	0.28224253	0.549940171	0.679467384	1	0.636327256	0.555061278	0.99396267	0.996054898	1	0.994670421	0.994247165	0.054976848	0.103338113	1	0.034255444	0.026948521												
2149			Tb427_080044900	Tb427_080044900	Tb427_080044900;Tb927.8.4010	Tb427_080044900;Tb927.8.4010	"hypothetical protein, conserved "														59.542	0	323.31	-0.163418	9.30E-01			0.177243781	1	0.186937753	0.129351614	0.224113418	-0.06741868	-0.259417318		-0.06741868	-0.259417318	0.513344577	0.240589205	1	0.355158648	0.241522025	0.407406329	0.113898358	1	0.018716858	0.017181204	0.040820508	not ID'ed	not ID'ed	not ID'ed	not ID'ed	not ID'ed	0.000845212	0.004063244	0.01828948	8.20451E-05	0.008864218	0.000275504	0.426754524	1	0.33209106	0.006667303	0.000278314	0.000269253
3793			Tb427_110030000	Tb427_110030000	Tb427_110030000;Tb927.11.2510	Tb427_110030000;Tb927.11.2510	"NUC173 domain containing protein, putative "		"hypothetical protein, conserved"										Nucleus	"NUC173 domain containing protein, putative"	145.59	0	12.401	-0.1640555	9.92E-01			0.176887695	0.84145596	0.587513351	0.160225872	0.152490173	-0.25331969	-0.489457565	0.250610892	-0.25331969	-0.489457565	0.250610892	0.004153566	1	0.002995904	0.009085759	0.001415534	0.144924247	1	0.75954415	0.134138103	0.084988755	0.381585271	0.52436788	1	0.337453755	0.371066229												
4360			Tb427_110143500	Tb427_110143500	Tb427_110143500;Tb927.11.12680	Tb427_110143500;Tb927.11.12680	"Prefoldin subunit, putative "														15.875	0	114.56	-0.1671051	9.98E-01			0.147419088	0.680563935	0.72386741	0.099776733	0.107160052	-0.402965709	-0.420096898	0.321747369	-0.402965709	-0.420096898	0.321747369	0.341441925	1	0.393897067	0.229186103	0.189893953	0.097611692	1	0.777705165	0.065223792	0.111042586	0.003203645	0.041691805	1	0.004920304	0.020543616	0.001563117	0.009566646	0.002372363	0.001361465	0.00214578	0.000528949	0.00660447	0.459294094	1	0.003808366	0.002107106	0.001112136
947			Tb427_040029800	Tb427_040029800	Tb427_040029800;Tb927.4.2740	Tb427_040029800;Tb927.4.2740	"p25-alpha, putative "		"hypothetical protein, conserved"												16.327	0	36.535	-0.1702152	9.98E-01			0.283035955	0.263901876	1	0.023782799	0.046550763	-0.379588056	-0.449884753	0.318827193	-0.379588056	-0.449884753	0.318827193	0.753235262	0.160172547	1	0.041304826	0.090786417	0.095602434	0.624827586	1	0.029844734	0.044726166	0.00027017	0.006705493	1	0.000198835	0.004139704	8.01265E-05	0.006180626	0.008953706	2.63281E-05	0.000104247	0.000152541	0.022449157	0.233168317	1	0.016885871	8.85269E-05	7.21589E-05
4402			Tb427_110153500	Tb427_110153500	Tb427_110153500;Tb927.11.13580	Tb427_110153500;Tb927.11.13580	"Coenzyme Q (ubiquinone) biosynthesis protein Coq4, putative "		ubiquinone biosynthesis protein-like protein												27.93	0	47.923	-0.17061	9.52E-01			1	0.543362025	0.5177214	0.529762713	0.589867773	-0.364217869	0.022997962		-0.364217869	0.022997962	0.493690837	1	0.981216281	0.972193481	0.978561227	0.974397885	1	0.105507768	0.063249318	0.080964199	0.205337661	not ID'ed	not ID'ed	not ID'ed	not ID'ed	not ID'ed	0.000719495	0.009095393	0.004835508	0.000699681	0.001097118	0.001812409	0.030762332	1	0.034606604	0.000865891	0.00291698	0.002569315
3341			Tb427_100107900	Tb427_100107900	Tb427_100107900;Tb927.10.10120	Tb427_100107900;Tb927.10.10120	"hypothetical protein, conserved "		"hypothetical protein, conserved"												63.236	0	146.79	-0.1721039	9.17E-01			0.107349162	0.128600291	1	0.124566273	0.19915694	-0.133720607	-0.210487103		-0.133720607	-0.210487103	0.510041935	0.150318412	0.138024934	1	0.173972685	0.226192999	0.064379912	0.119175648	1	0.075159861	0.172120881	not ID'ed	not ID'ed	not ID'ed	not ID'ed	not ID'ed	0.000138659	0.004010591	0.005818602	4.95688E-05	0.000339218	0.000138951	0.10417662	1	0.009962574	0.000311284	4.66662E-05	0.000150585
1172			Tb427_050028800;Tb427_050028500;Tb427_050028200;Tb427_050028100	Tb427_050028800;Tb427_050028500;Tb427_050028200;Tb427_050028100	Tb427_050028100;Tb427_050028200;Tb427_050028500;Tb427_050028800;Tb927.5.2160;Tb927.5.2170;Tb927.5.2200;Tb927.5.2230;Tb927.5.2260	Tb427_050028100;Tb427_050028200;Tb427_050028500;Tb427_050028800;Tb927.5.2160;Tb927.5.2170;Tb927.5.2200;Tb927.5.2230;Tb927.5.2260	"META domain containing protein, putative ;META domain containing protein, putative ;META domain containing protein, putative ;META domain containing protein, putative "		"hypothetical protein, conserved"												12.354	0	140.93	-0.1741416	9.87E-01			0.460179299	0.672708514	0.607165523	0.153370347	0.1688484	-0.525115365	-0.343279848	0.345970312	-0.525115365	-0.343279848	0.345970312	0.810362202	1	0.659254682	0.311831709	0.336486358	0.562250082	1	0.162241888	0.142809825	0.128791069	0.007925613	0.018125543	1	0.005469507	0.041267773	0.000810502	0.084665037	0.00213415	0.001111879	0.001861012	0.001148426	0.059804422	0.532247568	1	0.002157342	0.000911271	0.002531644
643			Tb427_030027100	Tb427_030027100	Tb427_030027100;Tb927.3.2650	Tb427_030027100;Tb927.3.2650	"Cytochrome C oxidase copper chaperone (COX17), putative "														8.0001	0	21.897	-0.1767417	9.79E-01			0.437362795	0.67481321	0.749978957	0.200260183	0.213342886	-0.512247275	-0.390821435	0.372843692	-0.512247275	-0.390821435	0.372843692	0.406904907	1	0.634125044	0.003942106	0.004085157	0.900120624	1	0.615811826	0.590560028	0.564721686	0.005062853	0.024439631	1	0.006278415	0.071221815	0.0001322	0.009650632	0.004577511	0.000306057	0.002382637	0.000368776	0.178520014	1	0.032847612	0.001013343	3.84456E-05	2.16059E-05
1884			Tb427_070069100	Tb427_070069100	Tb427_070069100;Tb927.7.6340	Tb427_070069100;Tb927.7.6340	"hypothetical protein, conserved "		"hypothetical protein, conserved"												48.093	0	26.386	-0.1790881	9.98E-01			0.768875356	0.662020253	0.804540592	0.42010925	0.425756607	-0.40161148	-0.329575476	0.193922705	-0.40161148	-0.329575476	0.193922705	0.655191191	0.3276803	1	0.2654312	0.248799308	1	0.769190538	0.413621776	0.337097444	0.325075561	0.651434876	0.889189921	1	0.657799108	0.703394952	0.001216339	0.026947673	0.002554431	0.001304099	0.00074742	0.001858739	0.012575014	1	0.012015447	0.000646763	0.00062627	0.00064277
3630			Tb427_100164400	Tb427_100164400	Tb427_100164400;Tb927.10.15590	Tb427_100164400;Tb927.10.15590	"FKBP-type peptidyl-prolyl cis-trans isomerase, putative "	PPI-FKB	"FKBP-type peptidyl-prolyl cis-trans isomerase, conserved,FKBP-type peptidylprolyl cis-trans isomerase, putative"			Possible glycosomal									21.403	0	56.596	-0.1798073	9.91E-01			0.519303915	0.490629159	0.909980491	0.37916318	0.384342813	-0.429089623	-0.455875789	0.345543533	-0.429089623	-0.455875789	0.345543533	1	0.700340856	0.729941472	0.656609196	0.62956258	0.523246309	0.746544635	1	0.462947252	0.46733494	0.034665435	0.025001988	1	0.017933091	0.056130918	0.02813598	0.023629869	0.032415955	0.033679538	0.032002731	0.014751413	0.095677251	1	0.074142432	0.035074549	0.015285273	0.020385081
2205			Tb427_080056500	Tb427_080056500	Tb427_080056500;Tb927.8.5120	Tb427_080056500;Tb927.8.5120	"Cytochrome c, putative "		cytochrome c												12.272	0	114.03	-0.1812956	9.81E-01			0.342784593	0.669583333	0.715073724	0.001432186	0.042303103	-0.521475727	-0.388283006	0.365871912	-0.521475727	-0.388283006	0.365871912	0.630369556	1	0.953191174	0.001004062	0.06320488	0.395526683	1	0.192029997	0.000485499	0.006421259	0.002457541	0.00875	1	0.002806996	0.05728317	0.000180877	0.029156931	0.007853214	0.000970988	0.001416368	0.000722392	0.069030376	1	0.157119429	0.008293978	5.20834E-05	5.24409E-05
4542			Tb427_110183500	Tb427_110183500	Tb427_110183500;Tb927.11.16390	Tb427_110183500;Tb927.11.16390	"Cyclin-dependent kinase regulatory subunit, putative "														11.919	0	4.0065	-0.1823546	9.73E-01			0.448143474	0.740780747	0.732094465	0.425515595	0.459465576	-0.324437947	-0.193172095	-0.02945381	-0.324437947	-0.193172095	-0.02945381	0.307118567	0.22234224	1	0.223675239	0.15925957	0.27283329	1	0.393790406	0.275302079	0.371305546	0.764478567	1	0.802492989	0.777569468	0.847831613												
